Status,Category,Year,State,Serial No,Proposal details,Location,Important Date,Category,Company Proponent
AWAITING FOR TOR,Coal Mining,2011,Chhattisgarh,1,Proposal No    :   IA/CG/CMIN/8278/2011   File No    :   J-11015/277/2011-IA.II(M)   Proposal Name    :   Fatehpur Opencast Coalmine Project (3 MTPA in an ML area of 719.761 ha),State    :   Chhattisgarh   District    :   Korba & Raigarh   Village    :,Date of Receipt of Proposal : 01 Dec 2011,Coal Mining,M/s Fatehpur Coal Mining Company Pvt. Ltd.
AWAITING FOR TOR,Coal Mining,2011,Chhattisgarh,2,Proposal No    :   IA/CG/CMIN/8032/2011   File No    :   J-11015/237/11.IA-II(M)   Proposal Name    :   Proposed Coal Washery Project,State    :   Chhattisgarh   District    :   Korba   Village    :,Date of Receipt of Proposal : 23 Sep 2011,Coal Mining,M/s CG Coal & Power Ltd
AWAITING FOR TOR,Coal Mining,2011,Gujarat,1,Proposal No    :   IA/GJ/CMIN/8219/2011   File No    :   J-11015/265/11.IA-II(M)   Proposal Name    :   Expansion of Mata-No-Madh Lignite Mine,State    :   Gujarat   District    :   Kutch   Village    :,Date of Receipt of Proposal : 09 Nov 2011Date of Consideration for TOR :,Coal Mining,M/s Gujarat Mineral Development Corp. Ltd.
AWAITING FOR TOR,Coal Mining,2011,Jharkhand,1,Proposal No    :   IA/JH/CMIN/7729/2011   File No    :   J-11015/190/2011.IA-II(M)   Proposal Name    :   Macherkunda Underground Coal Mines Project,State    :   Jharkhand   District    :   Latehar   Village    :,Date of Receipt of Proposal : 01 Aug 2011,Coal Mining,M/s Bihar Sponge Iron Ltd
AWAITING FOR TOR,Coal Mining,2011,Tamil Nadu,1,Proposal No    :   IA/TN/CMIN/6992/2011   File No    :   J-11015/01/2012-IA.II(M)   Proposal Name    :   Restructuring of Mine-1 Lignite Mine (reduction from 10.5 MTPA to 8 MTPA and expansion in ML area from 2762 ha to 3219 ha),State    :   Tamil Nadu   District    :   Cuddalore   Village    :,Date of Receipt of Proposal : 13 Dec 2011,Coal Mining,M/s Neyveli Lignite Corp. Ltd.
AWAITING FOR TOR,Coal Mining,2011,Tamil Nadu,2,Proposal No    :   IA/TN/CMIN/6996/2011   File No    :   J-11015/02/2012-IA.II(M)   Proposal Name    :   Expansion of Mine-1 A (from 3 MTPA to 7 MTPA),State    :   Tamil Nadu   District    :   Cuddalore   Village    :,Date of Receipt of Proposal : 13 Dec 2011,Coal Mining,M/s Neyveli Lignite Corp. Ltd.
AWAITING FOR TOR,Coal Mining,2011,Tamil Nadu,3,Proposal No    :   IA/TN/CMIN/58/2011   File No    :    J-11015/273/2011.IA-II(M)   Proposal Name    :    Devanagudi Lignite Mining Lease,State    :   Tamil Nadu   District    :   Cuddalore   Village    :,Date of Receipt of Proposal : 24 Nov 2011,Coal Mining,M/s Neyveli Lignite Corp. Ltd
AWAITING FOR TOR,Coal Mining,2011,West Bengal,1,Proposal No    :   IA/WB/CMIN/9743/2011   File No    :   J-11015/97/2011-IA-II(M)   Proposal Name    :   Moira Madhujore North & South Underground Coalmine Project,State    :   West Bengal   District    :   Burdwan   Village    :,Date of Receipt of Proposal : 06 Apr 2011,Coal Mining,M/s Moira Madhujore Coal Ltd.
AWAITING FOR TOR,Coal Mining,2010,Jharkhand,1,Proposal No    :   IA/JH/CMIN/9430/2010   File No    :   J-11015/70/2010-IA.II(M)   Proposal Name    :   North Dadhu Coal Block,State    :   Jharkhand   District    :   Latehar   Village    :,Date of Receipt of Proposal : 26 Feb 2010,Coal Mining,M/s North Dadhu Mining Company Ltd.
AWAITING FOR TOR,Coal Mining,2010,Jharkhand,2,Proposal No    :   IA/JH/CMIN/7435/2010   File No    :   J-11015/14/10.IA.II(M)   Proposal Name    :   Integrated Pithead Tasra Coal Washery Project,State    :   Jharkhand   District    :   Dhanbad   Village    :,Date of Receipt of Proposal : 18 Jan 2010,Coal Mining,M/s Steel Authority of India Ltd.
AWAITING FOR TOR,Coal Mining,2010,Madhya Pradesh,1,Proposal No    :   IA/MP/CMIN/8056/2010   File No    :   J-11015/24/2010.IA.II(M)   Proposal Name    :   Thesgora Coal Block,State    :   Madhya Pradesh   District    :   Chindwara   Village    :,Date of Receipt of Proposal : 02 Feb 2010,Coal Mining,M/s Thesgora Coal Pvt. Ltd.
AWAITING FOR TOR,Coal Mining,2010,Madhya Pradesh,2,Proposal No    :   IA/MP/CMIN/1/2010   File No    :    J-11015/350/2009-IA.II(M)   Proposal Name    :   Semaria-Piparia Coalmine Project,State    :   Madhya Pradesh   District    :   Umaria   Village    :,Date of Receipt of Proposal : 04 Jan 2010Date of Consideration for TOR :,Coal Mining,M/s M.P. State Mining Corp. Ltd
AWAITING FOR TOR,Coal Mining,2013,Jharkhand,1,Proposal No    :   IA/JH/CMIN/19008/2013   File No    :   J-11015/200/2013-IA-II(M)   Proposal Name    :   Mahuda Coal Washery,State    :   Jharkhand   District    :   Dhanbad   Village    :,Date of Receipt of Proposal : 21 Jun 2013,Coal Mining,M/s Bharat Coking Coal Ltd.
AWAITING FOR TOR,Coal Mining,2013,Jharkhand,2,"Proposal No    :   IA/JH/CMIN/18639/2013   File No    :   J-11015/154/2013-IA-II(M)   Proposal Name    :   Kedla Colliery, Kedla OCP and Kedla UGP",State    :   Jharkhand   District    :   Ranchi   Village    :   Kedla,Date of Receipt of Proposal : 22 May 2013,Coal Mining,M/s Central Coalfields Ltd.
AWAITING FOR TOR,Coal Mining,2013,Jharkhand,3,Proposal No    :   IA/JH/CMIN/18640/2013   File No    :   J-11015/155/2013-IA-II(M)   Proposal Name    :   Tapin South Expansion OCP,State    :   Jharkhand   District    :   Ramgarh   Village    :,Date of Receipt of Proposal : 20 May 2013,Coal Mining,M/s Central Coalfields Ltd.
AWAITING FOR TOR,Coal Mining,2013,Jharkhand,4,Proposal No    :   IA/JH/CMIN/17127/2013   File No    :   J-11015/75/2013-IA-II(M)   Proposal Name    :   Dhori Group of Mines,State    :   Jharkhand   District    :   Bokaro   Village    :   Bermo,Date of Receipt of Proposal : 07 Mar 2013Date of Consideration for TOR :03 Jun 2013,Coal Mining,M/s Central Coalfields Ltd.
